,result,table,_time,x,y,z
,,0,2023-05-16T23:00:05.74Z,27,-23,4157
,,0,2023-05-16T23:00:05.76Z,42,-43,4132
,,0,2023-05-16T23:00:05.78Z,29,-19,4109
,,0,2023-05-16T23:00:05.8Z,69,-48,4164
,,0,2023-05-16T23:00:05.82Z,45,-6,4160
,,0,2023-05-16T23:00:05.84Z,36,-13,4150
,,0,2023-05-16T23:00:05.86Z,22,-5,4153
,,0,2023-05-16T23:00:05.88Z,51,-50,4136
,,0,2023-05-16T23:00:05.9Z,54,-17,4100
,,0,2023-05-16T23:00:05.92Z,57,-28,4126
,,0,2023-05-16T23:00:05.94Z,54,-5,4122
,,0,2023-05-16T23:00:05.96Z,21,-34,4168
,,0,2023-05-16T23:00:05.98Z,40,-47,4164
,,0,2023-05-16T23:00:06Z,35,-40,4131
,,0,2023-05-16T23:00:06.02Z,69,-55,4140
,,0,2023-05-16T23:00:06.04Z,36,-4,4151
,,0,2023-05-16T23:00:06.06Z,31,-40,4120
,,0,2023-05-16T23:00:06.08Z,53,-4,4103
,,0,2023-05-16T23:00:06.1Z,42,-40,4153
,,0,2023-05-16T23:00:06.12Z,27,-32,4154
,,0,2023-05-16T23:00:06.14Z,57,-19,4146
,,0,2023-05-16T23:00:06.16Z,56,-15,4168
,,0,2023-05-16T23:00:06.18Z,27,-40,4127
,,0,2023-05-16T23:00:06.2Z,60,-6,4135
,,0,2023-05-16T23:00:06.22Z,40,-30,4146
,,0,2023-05-16T23:00:06.24Z,42,-6,4123
,,0,2023-05-16T23:00:06.26Z,66,-11,4151
,,0,2023-05-16T23:00:06.28Z,50,-14,4119
,,0,2023-05-16T23:00:06.3Z,37,-32,4098
,,0,2023-05-16T23:00:06.32Z,42,-44,4134
,,0,2023-05-16T23:00:06.34Z,71,-24,4131
,,0,2023-05-16T23:00:06.36Z,38,-50,4113
,,0,2023-05-16T23:00:06.38Z,56,-26,4135
,,0,2023-05-16T23:00:06.4Z,65,-58,4168
,,0,2023-05-16T23:00:06.42Z,45,-26,4124
,,0,2023-05-16T23:00:06.44Z,45,-33,4136
,,0,2023-05-16T23:00:06.46Z,47,-13,4122
,,0,2023-05-16T23:00:06.48Z,36,-9,4103
,,0,2023-05-16T23:00:06.5Z,58,-19,4135
,,0,2023-05-16T23:00:06.52Z,23,-36,4145
,,0,2023-05-16T23:00:06.54Z,40,-10,4152
,,0,2023-05-16T23:00:06.56Z,53,-41,4132
,,0,2023-05-16T23:00:06.58Z,36,-19,4142
,,0,2023-05-16T23:00:06.6Z,40,-39,4122
,,0,2023-05-16T23:00:06.62Z,27,-43,4144
,,0,2023-05-16T23:00:06.64Z,39,-41,4118
,,0,2023-05-16T23:00:06.66Z,22,-17,4098
,,0,2023-05-16T23:00:06.68Z,43,-18,4102
,,0,2023-05-16T23:00:06.7Z,38,-33,4162
,,0,2023-05-16T23:00:06.72Z,33,-31,4156
,,0,2023-05-16T23:00:06.74Z,57,-31,4132
