,result,table,_start,_stop,_time,_value,_field,_measurement,deviceId,hardwareVersion,location,softwareVersion
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:44:39.055Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:44:41.512Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:44:44.009Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:44:46.482Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:44:48.971Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:44:51.462Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:44:53.97Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:44:56.458Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:44:58.973Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:45:01.387Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
